Month,F1_Percentage,F2_Percentage,F3_Percentage,10am_to_4pm_Percentage
1,1355.2982985809151,493.705815533004,306.81780969456156,1977.5488550176547
2,1668.9148076252266,255.7695765671698,171.13696703119078,2019.6543709208129
3,3006.1005432465313,1333.3267898639049,748.4323598458755,4644.684821421222
4,2917.6555267233757,1652.227801635791,200.00729677630775,4114.485571182831
5,3321.976145183033,894.0796163506775,721.629166157713,3873.3874511341305
6,3726.762481928304,984.700325146602,907.5702799601714,4302.4966471306525
7,4350.159271368665,1705.294258965469,478.51202993763627,5607.511888500984
8,3974.939746073109,1730.8835422223144,1107.8737519899287,5652.929518579157
9,3383.4516490194324,496.6294954017139,687.1005975319183,4479.79965022602
10,2187.5120966197596,963.1252708374449,504.2301207449202,2923.1585180426828
11,1137.7518818975254,427.1111319030106,137.6367179595811,1478.6673619275707
12,1057.5458284122842,97.76917040777278,356.0356528468247,1719.9384393429434
