Unnamed: 0,fid,full_id,osm_id,Building Area,Area,S_coeff,W_coeff,E_coeff
0,414,w538115135,538115135,1002,168.6920491726863,0.4,0.26,0.34
5,416,w539744154,539744154,297,50.001535533221386,0.24,0.39,0.37
36,430,w541965085,541965085,1196,201.3529848408511,0.42,0.51,0.07
45,402,w534572399,534572399,897,151.01473863063833,0.74,0.11,0.15
13,503,w1086210744,1086210744,771,129.80196598018077,0.44,0.24,0.32
54,397,w534565230,534565230,314,52.8635762876482,0.34,0.2,0.46
33,433,w541965088,541965088,1306,219.8720720753776,0.5,0.02,0.48
48,401,w534572395,534572395,396,66.66871404429517,0.73,0.1,0.17
12,502,w1086210743,1086210743,130,21.886194004440338,0.45,0.49,0.06
57,409,w535349143,535349143,88,14.815269787621151,0.0,0.39,0.61
